,Frame Number,Rotation Vector
81,206.0,"[-1.103902821719157, 0.3625036079880658, -2.7902834191578183]"
82,207.0,"[-1.1015559122779703, 0.3801011953179303, -2.7987003619575326]"
83,208.0,"[-1.0518102646173406, 0.3441222071541468, -2.8380524521279167]"
84,209.0,"[-1.0674745283446456, 0.33101008005684907, -2.8412749028297033]"
85,210.0,"[-1.0639308941336723, 0.3341277613608541, -2.841018797514301]"
86,211.0,"[-1.1182264386078058, 0.3646315673540191, -2.8271552865887632]"
87,212.0,"[-1.1091747099023272, 0.39847248864664525, -2.831553679301724]"
88,213.0,"[-1.1077430899523046, 0.38311987649690193, -2.8344107396802274]"
89,240.0,"[-1.2215747450592593, 0.447007568714923, -2.795185372748759]"
90,241.0,"[-1.2291346711421147, 0.45351922436438585, -2.786202127706578]"
91,242.0,"[-1.1991522831241321, 0.43816233002505234, -2.7956592660570987]"
92,243.0,"[-1.2058743578986728, 0.42837248491215235, -2.7889091314399996]"
93,244.0,"[-1.2062702409632602, 0.42597318666685985, -2.784124125265489]"
94,245.0,"[-1.1952529402367444, 0.4101160994181477, -2.7663731551459705]"
95,246.0,"[-1.181149256910971, 0.40704943424725154, -2.7639019718271887]"
96,247.0,"[-1.1851090455289817, 0.4422372367553636, -2.7754695602501727]"
97,248.0,"[-1.1728721587548234, 0.4460630582309631, -2.763989187086206]"
98,249.0,"[-1.1972105624059757, 0.44058965876028106, -2.730096632128875]"
99,250.0,"[-1.1878860959614042, 0.44650326328256595, -2.7264445026203963]"
100,251.0,"[-1.1838341395327405, 0.44383082754897274, -2.7491287357077456]"
101,252.0,"[-1.2051469178891507, 0.43828933272413434, -2.7099543727686037]"
102,253.0,"[-1.2278364704716362, 0.4357884714258591, -2.706688711153257]"
103,254.0,"[-1.174891347864812, 0.3664018373198115, -2.768226477216732]"
104,256.0,"[-0.2939202006426131, 0.28687540099631503, -2.99813321052816]"
105,259.0,"[-1.2202867086118014, 0.21012742325803582, -2.798739749731756]"
106,260.0,"[-0.9430850845575367, 0.20434289544417028, -2.7931106327809383]"
107,261.0,"[-0.8479162195849123, 0.21990157518581432, -2.7737814393094036]"
108,262.0,"[-0.7223977811960588, 0.2683783916027038, -2.769615443754908]"
109,263.0,"[-0.6590521985958633, 0.2028636973307329, -2.7795658713697935]"
110,264.0,"[-0.6951911100363591, 0.17789879971599873, -2.803188278825192]"
111,265.0,"[-0.6642976831257411, 0.11589166774882749, -2.8225036067357445]"
112,266.0,"[-0.6741123792030055, 0.11667565070602458, -2.8360597792038256]"
113,267.0,"[-0.6938916964387882, 0.105238987484796, -2.8299344397554917]"
114,268.0,"[-0.7453942386946553, 0.10097806029132576, -2.853368238210949]"
115,269.0,"[-0.7473175332485211, 0.108077631412248, -2.844130816690407]"
116,270.0,"[-0.7382191250916752, 0.07437137319416473, -2.840853677975405]"
117,271.0,"[-0.7300864438698812, 0.08581898392625703, -2.865989237432837]"
118,272.0,"[-0.7309188222449702, 0.05606624156386182, -2.8652559495101144]"
119,273.0,"[-0.745690974722887, 0.041509849742336256, -2.8460415738701696]"
120,274.0,"[-0.736684938915653, 0.03960374916081187, -2.8560832260593525]"
121,275.0,"[-0.7043008460413387, 0.01618053942065137, -2.8662962231999005]"
122,276.0,"[-0.6826335138624825, 0.006720093633878048, -2.874102981572329]"
123,277.0,"[-0.6866738637236693, 0.05147646354783739, -2.857084884176147]"
124,278.0,"[-0.7010411438015192, 0.06255733164386788, -2.851087298467138]"
125,279.0,"[-0.7041291488951019, 0.07155958548960337, -2.849564714651041]"
126,280.0,"[-0.6804946926996583, 0.07734220910424072, -2.870369818119756]"
127,281.0,"[-0.7108909834033152, 0.0931155561186547, -2.860597160752818]"
128,282.0,"[-0.817360037961359, 0.10069061978485606, -2.8429165663635887]"
129,283.0,"[-0.8124481876059705, 0.10622709013068968, -2.8336458542359666]"
130,284.0,"[-0.7837028534190862, 0.1270239001548929, -2.8448840465168934]"
131,285.0,"[-0.7938801936196244, 0.12552185806654076, -2.860990638792481]"
132,286.0,"[-0.7863627716972251, 0.14097137839104018, -2.863792091933511]"
133,287.0,"[-0.7929177462624517, 0.17959817018859894, -2.8743343155297545]"
134,288.0,"[-0.7945502649231354, 0.1680692079332898, -2.8978679066871003]"
135,289.0,"[-0.7775111312537419, 0.191057270478796, -2.8918937653125507]"
136,290.0,"[-0.8229261562883606, 0.22582494086106583, -2.8847885591582387]"
